t;"counter Vector LoRaNetworkTest.loRaNodes[0].SimpleLoRaApp($0=""avg"", #0 - General-0-20210614-19:37:04-10600)";GW[0] Received RSSI (position=240,240);GW[1] Received RSSI (position=200,140);"SF Vector LoRaNetworkTest.loRaNodes[0].SimpleLoRaApp($0=""avg"", #0 - General-0-20210614-19:37:04-10600)";"TP Vector LoRaNetworkTest.loRaNodes[0].SimpleLoRaApp($0=""avg"", #0 - General-0-20210614-19:37:04-10600)";"X Vector LoRaNetworkTest.loRaNodes[0].SimpleLoRaApp($0=""avg"", #0 - General-0-20210614-19:37:04-10600)";"Y Vector LoRaNetworkTest.loRaNodes[0].SimpleLoRaApp($0=""avg"", #0 - General-0-20210614-19:37:04-10600)";"Z Vector LoRaNetworkTest.loRaNodes[0].SimpleLoRaApp($0=""avg"", #0 - General-0-20210614-19:37:04-10600)"
122752.95103769937;249;none;none;10;2;147.16508224244;285.69872022724;1.3367338195141
122894.7259300966;250;none;none;10;2;372.74270159847;313.263406594;1.3088113731632
122994.65796074622;251;none;none;10;2;379.16958945388;273.99468405411;1.4055488883341
123093.67056205828;252;-127.66331403452;-131.626496923;10;2;254.91434015212;194.54241295621;1.3936687176921
123291.21501321342;253;none;-129.28006548392;10;2;193.81745786889;81.928668354721;1.062435195676
123363.82971642309;254;none;none;10;2;288.13976185356;59.936239503633;1.0992126119947
123541.9463523887;255;-128.30544410375;-129.3539604105;10;2;233.29236076871;188.65167828307;1.1336319058405
123693.8161038549;256;none;none;10;2;133.26710752291;251.58963332645;1.4580106262348
123808.22368286172;257;none;-118.34371761358;10;2;200.70128330694;139.15469815945;1.7378947648308
123907.1972237064;258;none;none;10;2;147.43677750899;281.94432583855;1.5323784187807
124029.882384987;259;none;-131.56246241856;10;2;123.45381872753;147.34896268293;1.7208702493841
124120.71500857369;260;none;none;10;2;74.07767556754;79.399184806996;1.7240706234354
124196.93262018053;261;none;-131.7915814532;10;2;154.19482882636;75.795610275106;1.2322651624953
124272.60668546365;262;none;none;10;2;109.73263158839;168.46587871135;1.4804854542591
124661.46590718146;263;none;none;10;2;297.86421757653;400.24370341534;1.4558192501851
124718.05862946256;264;none;none;10;2;242.54841109804;416.6557861644;1.3912891137137
124900.32293184276;265;none;none;10;2;64.396583936915;469.51305636262;1.1834613253977
